occupation,occupation_english
Bäcker,Baker
Böttcher,Cooper
Buchbinder,Bookbinder
Drechsler,Turner/Lathe operator
Fleischer,Butcher
Fischer,Fisherman
Gastwirt,Innkeeper
Gärtner,Gardener
Gerber,Tanner
Glaser,Glazier
Handwerker,Craftsman
Kaufmann,Merchant
Knecht,Farmhand
Krämer,Grocer
Küfer,Cooper
Küfner,Cooper
Küster,Sexton
Landwirt,Farmer
Lehrer,Teacher
Maler,Painter
Maurer,Mason
Metzger,Butcher
Müller,Miller
Notar,Notary
Pfarrer,Pastor
Richter,Judge
Sattler,Saddler
Schäfer,Shepherd
Schlosser,Locksmith
Schmied,Blacksmith
Schmiedemeister,Master blacksmith
Schneider,Tailor
Schreiner,Carpenter/Joiner
Schulze,Village mayor
Schuhmacher,Shoemaker
Schuster,Shoemaker
Seiler,Ropemaker
Stellmacher,Wheelwright
Tagelöhner,Day laborer
Taglöhner,Day laborer
Tischler,Carpenter
Uhrmacher,Watchmaker
Wagner,Wainwright/Cartwright
Weber,Weaver
Wirt,Innkeeper
Zimmermann,Carpenter
