"from","raw","target","reason"
"93.3m1","> 98","98.0","no name match"
"187.5","< 78","78.0","no name match"
"188.s2","> 4176.1","4176.1","no name match"
"200.1m1","> 202","202.0","no name match"
"200.2m1","> 203","203.0","no name match"
"204.6","> 212","212.0","no name match"
"204.6","> 3902.5","3902.5","no name match"
"204.6","> 1961","1961.0","no name match"
"204.6","> 210","210.0","no name match"
"204.6","> 2538","2538.0","no name match"
"204.6","> 676","676.0","no name match"
"204.6","> 218","218.0","no name match"
"219.0","< 205.5","205.1","no name match"
"327.3m1","> 351","351.0","no name match"
"488.2m1","> 490","490.0","no name match"
"517.3m1","> 518","518.0","no name match"
"736.0","< 735.2","735.1","no name match"
"798.3m1","> 811","811.0","no name match"
"809.2m1","> 821","821.0","no name match"
"828.0","< 812.6","812.6","no name match"
"855.1m1","> 857","857.0","no name match"
"941.1m1","> 1556","1556.0","no name match"
"994.1m1","> 980","980.0","no name match"
"1049.2m1","< 328","328.0","no name match"
"1055.3m1","> 1085","1085.0","no name match"
"1056.6m1","> 1103","1103.0","no name match"
"1057.1m1","> 1091","1091.0","no name match"
"1073.10m1","> 1144","1144.0","no name match"
"1092.2m1","> 1128","1128.0","no name match"
"1154.s1","> 1660.12","1660.1","no name match"
"1250.3m1","> 1252","1252.0","no name match"
"1276.10m1","> 1277","1277.0","no name match"
"1287.0","> 1985.2","1985.2","no name match"
"1287.0","> 1860","1860.0","no name match"
"1300.4m1","> 1314","1314.0","no name match"
"1345.2m1","< 1343","1343.0","no name match"
"1355.2m1","> 1366","1366.0","no name match"
"1356.1m1","> 1369","1369.0","no name match"
"1362.4m1","> 1364","1364.0","no name match"
"1366.7m1","> 1374","1374.0","no name match"
"1486.0","< 1483.3","1483.1","no name match"
"1563.6m1","> 1572","1572.0","no name match"
"1660.2m1","> 1673","1673.0","no name match"
"1702.1m1","> 1710","1710.0","no name match"
"1780.2","< 589","589.0","no name match"
"1801.0","< 1799.3","1799.1","no name match"
"1877.10m1","> 1889","1889.0","no name match"
"1885.4","> 3977","3977.0","no name match"
"1935.5m1","> 1936","1936.0","no name match"
"1989.5m1","> 2017","2017.0","no name match"
"2001.4m1","> 2006","2006.0","no name match"
"2016.3","> 2026","2026.0","no name match"
"2016.3","> 2750","2750.0","no name match"
"2016.3","> 3530","3530.0","no name match"
"2016.3","< 2007.2","2007.2","no name match"
"2016.3","< 1073.8","1073.8","no name match"
"2016.3","> 2023","2023.0","no name match"
"2016.3","> 2567","2567.0","no name match"
"2109.s2","> 2110","2110.0","no name match"
"2148.1m2","> 3916","3916.0","ambiguous name match"
"2153.5m1","> 2172","2172.0","no name match"
"2217.4m1","> 2230","2230.0","no name match"
"2249.4","< 949","949.0","no name match"
"2249.4","> 2250","2250.0","no name match"
"2249.4","> 2251","2251.0","no name match"
"2394.5","< 1683","1683.0","no name match"
"2396.1m1","> 2402","2402.0","no name match"
"2424.s1","< 2420.1","2420.1","no name match"
"2424.s1","< 40.1","40.1","no name match"
"2424.s1","> 2428","2428.0","no name match"
"2424.s1","< 2163","2163.0","no name match"
"2461.2","<2461","2461.0","no name match"
"2494.1m1","> 2522","2522.0","no name match"
"2521.1m1","> 2544","2544.0","no name match"
"2670.1m1","> 2673","2673.0","no name match"
"2827.s1","< 2826.1","2826.1","no name match"
"2828.6m1","> 2846","2846.0","no name match"
"2843.8","> 2852","2852.0","no name match"
"2876.3m1","> 2882","2882.0","no name match"
"2976.1m1","< 2972","2972.0","no name match"
"2981.0","< 95","95.0","no name match"
"2981.0","< 2976.4","2976.4","no name match"
"2981.0","< 1874.3","1874.3","no name match"
"2981.0","> 2985","2985.0","no name match"
"2981.0","> 3268","3268.0","no name match"
"2985.s2","> 2988","2988.0","no name match"
"2986.0","<2986","2986.0","ambiguous name match"
"2991.2","< 2208.1","2208.1","no name match"
"3046.1m1","< 2273","2273.0","no name match"
"3247.1m1","> 3259","3259.0","no name match"
"3258.1m1","> 3260","3260.0","no name match"
"3383.0","< 3371.2","3371.1","no name match"
"3435.3m1","> 3437","3437.0","no name match"
"3473.2m1","> 3475","3475.0","no name match"
"3606.6m2","> 3610","3610.0","no name match"
"3606.6m2","> 3611","3611.0","no name match"
"3606.6m2","> 3612","3612.0","no name match"
"3646.3m1","> 3649","3649.0","no name match"
"3648.5m1","> 3655","3655.0","no name match"
"3654.s1","< 205.4","205.4","no name match"
"3681.2m1","> 3687","3687.0","no name match"
"3709.2m1","> 3711","3711.0","no name match"
"3817.3m1","> 3826","3826.0","no name match"
"3823.1m1","> 3829","3829.0","no name match"
"3871.2m1","> 3879","3879.0","no name match"
"3871.3m1","> 3880","3880.0","no name match"
"3916.6m2","<3916","3916.0","no name match"
"3932.2m1","> 3938","3938.0","no name match"
"3949.2m1","> 4091","4091.0","no name match"
"3970.1m1","> 3972","3972.0","no name match"
"4042.1m1","> 4044","4044.0","no name match"
"4156.4m1","> 4162","4162.0","no name match"
