person,ref,issues
50.s1,<4110,direction mismatch
55.s2,<2292,direction mismatch
79.s1,<187,direction mismatch
95.s2,< 517.1,direction mismatch
95.s2,<2979,direction mismatch
97.s2,<150,direction mismatch
97.s3,<427,direction mismatch
97.s4,<3129,direction mismatch
106.s1,< 2979.6,direction mismatch
107.s1,< 139.2,direction mismatch
109.s1,<1444,direction mismatch
142.s1,<3678,direction mismatch
149.s2,<3218,direction mismatch
150.s3,<3575,direction mismatch
180.1m1,> 179,direction mismatch
200.s2,<316,direction mismatch
204.s2,<2840,direction mismatch
219.0,< 205.5,target person not found
244.2m1,> 238,direction mismatch
244.3m1,> 241,direction mismatch
249.s2,<1356,direction mismatch
250.s1,<808,direction mismatch
258.s1,< 416.1,direction mismatch
263.1m1,> 202,direction mismatch
266.0,< 306.1,direction mismatch
293.2m1,> 280,direction mismatch
309.s1,<4063,direction mismatch
317.s2,<2902,direction mismatch
321.s2,<2513,direction mismatch
328.s1,< 1049.2,direction mismatch
328.s3,<635,direction mismatch
331.0,< 274.3,target person not found
333.s2,<725,direction mismatch
334.s3,<2609,direction mismatch
340.s1,<1670,direction mismatch
390.s1,<657,direction mismatch
403.s1,< 1175.1,direction mismatch
411.1m2,<1434,direction mismatch
420.s1,< 3852.1,direction mismatch
435.s2,<2428,direction mismatch
447.s2,> 1602.3,target person not found
462.s2,<2425,direction mismatch
488.4m1,<1757,direction mismatch
500.s1,<3973,direction mismatch
514.s1,> 3145.2,target person not found
519.s1,<1732,direction mismatch
524.s1,<1494,direction mismatch
533.s2,<651,direction mismatch
577.s3,<3671,direction mismatch
578.6,<1497,direction mismatch
648.4m1,> 644,direction mismatch
701.s2,<2993,direction mismatch
714.s2,<3818,direction mismatch
714.s3,<1391,direction mismatch
734.1m1,> 44,direction mismatch
736.0,< 735.2,target person not found
741.s4,<1811,direction mismatch
747.s3,<4059,direction mismatch
748.s2,<1579,direction mismatch
765.1m1,> 721,direction mismatch
785.s2,<3738,direction mismatch
786.s2,<1735,direction mismatch
789.s1,<1510,direction mismatch
792.1m1,> 211,direction mismatch
809.s2,<3261,direction mismatch
811.s1,<3906,direction mismatch
820.s2,< 3648.7,direction mismatch
821.0,<2628,direction mismatch
842.s1,< 2557.3,direction mismatch
866.s1,<3465,direction mismatch
866.s2,<3465,direction mismatch
875.0,<878,direction mismatch
880.5m1,> 361,direction mismatch
883.s1,<3428,direction mismatch
896.s2,<2482,direction mismatch
896.s3,<1437,direction mismatch
902.s1,<3740,direction mismatch
925.s2,<1823,direction mismatch
926.s3,<3673,direction mismatch
994.1m1,> 980,direction mismatch
1001.1m1,> 706,direction mismatch
1002.s1,<1564,direction mismatch
1029.1m1,> 987,direction mismatch
1031.s1,<2870,direction mismatch
1058.s2,<3822,direction mismatch
1067.s2,<3998,direction mismatch
1072.s1,<3136,direction mismatch
1098.s2,< 1875.3,direction mismatch
1098.s2,<3905,direction mismatch
1102.s3,<3185,direction mismatch
1136.s1,<2546,direction mismatch
1154.s1,> 1660.12,target person not found
1167.1m1,> 758,direction mismatch
1172.s2,<2398,direction mismatch
1271.0,<1272,direction mismatch
1271.0,<1275,direction mismatch
1282.s2,< 1911.2,direction mismatch
1363.s2,<3709,direction mismatch
1394.s1,<3757,direction mismatch
